c,0,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'Would this be the bathroom you need help with?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'Yup, I just need to move the towels from the counter to the cabinet up there.', 'intent': 'Yes-no_positive'}"
a,1,bathroom_cabinet_1,"{'user': 'Human', 'text': 'Yup, I just need to move the towels from the counter to the cabinet up there.', 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': ""Okay, I'll get these cabinets open first!"", 'intent': 'Inform_get_started'}"
c,0,bathroom_cabinet_1,"{'user': 'Alien', 'text': ""Okay, I'll get these cabinets open first!"", 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': ""...Okay, I'm going to pretend I didn't see that. Now let's load up the towels in there."", 'intent': 'Inform_next_step'}"
c,0,bathroom_cabinet_1,"{'user': 'Human', 'text': ""...Okay, I'm going to pretend I didn't see that. Now let's load up the towels in there."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}"
c,1,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'Alright!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'These are the towels, right?', 'intent': 'Ask_about_object'}"
c,0,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'These are the towels, right?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': ""Correct. Honestly, you didn't need to open up all the cabinets since we're just putting everything in the middle one."", 'intent': 'Yes-no_positive'}"
c,0,bathroom_cabinet_1,"{'user': 'Human', 'text': ""Correct. Honestly, you didn't need to open up all the cabinets since we're just putting everything in the middle one."", 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': 'Oh, okay. Sounds good.', 'intent': 'Inform_understanding'}"
c,1,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'Oh, okay. Sounds good.', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Grabbing the towel!', 'intent': 'Inform_get_started'}"
c,0,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'Grabbing the towel!', 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': 'Great, now just put it in the cabinet.', 'intent': 'Inform_next_step'}"
a,1,bathroom_cabinet_1,"{'user': 'Human', 'text': 'Great, now just put it in the cabinet.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'The middle cabinet, right?', 'intent': 'Ask_about_location'}"
c,0,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'The middle cabinet, right?', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': ""Yup, that's the one."", 'intent': 'Yes-no_positive'}"
a,1,bathroom_cabinet_1,"{'user': 'Human', 'text': ""Yup, that's the one."", 'intent': 'Yes-no_positive'}","{'user': 'Alien', 'text': 'In it goes!', 'intent': 'Inform_get_started'}"
c,0,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'In it goes!', 'intent': 'Inform_get_started'}","{'user': 'Human', 'text': ""You sure about the top shelf? I didn't realize you could reach that high."", 'intent': 'Ask_sure_about_location'}"
c,0,bathroom_cabinet_1,"{'user': 'Human', 'text': ""You sure about the top shelf? I didn't realize you could reach that high."", 'intent': 'Ask_sure_about_location'}","{'user': 'Alien', 'text': 'Yup, I can reach anywhere!', 'intent': 'Yes-no_positive'}"
c,0,bathroom_cabinet_1,"{'user': 'Alien', 'text': 'Yup, I can reach anywhere!', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': ""Ain't that the truth. Alright, let's grab the next towel."", 'intent': 'Inform_next_step'}"
c,0,using_dishwasher_2,"{'user': 'Alien', 'text': 'Hey Michael!', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': 'Hello Zara. Nice to see you again.', 'intent': 'Extend_greetings'}"
c,0,using_dishwasher_2,"{'user': 'Human', 'text': 'Hello Zara. Nice to see you again.', 'intent': 'Extend_greetings'}","{'user': 'Human', 'text': 'Today, we are going to make dinner, but before that we must wash a plate so that we have something to put the dinner on.', 'intent': 'Inform_other'}"
c,1,using_dishwasher_2,"{'user': 'Human', 'text': 'Today, we are going to make dinner, but before that we must wash a plate so that we have something to put the dinner on.', 'intent': 'Inform_other'}","{'user': 'Human', 'text': 'There is a dirty plate next to the computer. Lets go get that.', 'intent': 'Inform_next_step'}"
c,0,using_dishwasher_2,"{'user': 'Human', 'text': 'There is a dirty plate next to the computer. Lets go get that.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Lead the way!', 'intent': 'Inform_understanding'}"
c,1,using_dishwasher_2,"{'user': 'Alien', 'text': 'Lead the way!', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': ""Ok. Now that we're here, please grab the plate."", 'intent': 'Inform_next_step'}"
c,0,using_dishwasher_2,"{'user': 'Human', 'text': ""Ok. Now that we're here, please grab the plate."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'On it!', 'intent': 'Inform_understanding'}"
c,0,using_dishwasher_2,"{'user': 'Alien', 'text': 'On it!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Hmmm.... Is this what you meant?', 'intent': 'Display_confusion'}"
c,0,using_dishwasher_2,"{'user': 'Alien', 'text': 'Hmmm.... Is this what you meant?', 'intent': 'Display_confusion'}","{'user': 'Human', 'text': 'Are you sure that is the plate?', 'intent': 'Ask_sure_about_object'}"
c,0,using_dishwasher_2,"{'user': 'Human', 'text': 'Are you sure that is the plate?', 'intent': 'Ask_sure_about_object'}","{'user': 'Alien', 'text': ""No, I'm unsure."", 'intent': 'Yes-no_negative'}"
c,0,using_dishwasher_2,"{'user': 'Alien', 'text': ""No, I'm unsure."", 'intent': 'Yes-no_negative'}","{'user': 'Human', 'text': 'You were very close, but that was not the plate.', 'intent': 'Inform_object'}"
a,1,using_dishwasher_2,"{'user': 'Human', 'text': 'You were very close, but that was not the plate.', 'intent': 'Inform_object'}","{'user': 'Human', 'text': 'Do need more info on the plate?', 'intent': 'Ask_need_info'}"
c,0,using_dishwasher_2,"{'user': 'Human', 'text': 'Do need more info on the plate?', 'intent': 'Ask_need_info'}","{'user': 'Alien', 'text': 'Yes, please.', 'intent': 'Yes-no_positive'}"
c,0,using_dishwasher_2,"{'user': 'Alien', 'text': 'Yes, please.', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': 'Plates are flat, so that they can hold food on them.', 'intent': 'Inform_object'}"
c,0,using_dishwasher_2,"{'user': 'Human', 'text': 'Plates are flat, so that they can hold food on them.', 'intent': 'Inform_object'}","{'user': 'Human', 'text': 'What you grabbed was the food that was on the plate.', 'intent': 'Inform_object'}"
c,0,using_dishwasher_2,"{'user': 'Human', 'text': 'What you grabbed was the food that was on the plate.', 'intent': 'Inform_object'}","{'user': 'Alien', 'text': 'Thanks for clarifying.', 'intent': 'Inform_understanding'}"
