0,using_dishwasher_1,"{'user': 'Human', 'text': ""Alright, let's wash some dishes. Here's the dishwasher, under the toaster oven there."", 'intent': 'Inform_get_started'}","{'user': 'Alien', 'text': 'Toaster oven? Do you mean this?', 'intent': 'Ask_about_object'}"
1,using_dishwasher_1,"{'user': 'Alien', 'text': 'Toaster oven? Do you mean this?', 'intent': 'Ask_about_object'}","{'user': 'Human', 'text': 'No, that would be my computer, which is much more powerful than a mere toaster oven.', 'intent': 'Yes-no_negative'}"
0,using_dishwasher_1,"{'user': 'Human', 'text': 'No, that would be my computer, which is much more powerful than a mere toaster oven.', 'intent': 'Yes-no_negative'}","{'user': 'Alien', 'text': 'Wait, really? Then where is it?', 'intent': 'Inform_confused'}"
0,using_dishwasher_1,"{'user': 'Alien', 'text': 'Wait, really? Then where is it?', 'intent': 'Inform_confused'}","{'user': 'Human', 'text': ""It's back in the kitchen where we were before."", 'intent': 'Inform_location'}"
1,using_dishwasher_1,"{'user': 'Human', 'text': ""It's back in the kitchen where we were before."", 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'Oh, I see. Sorry, I got a little mixed up.', 'intent': 'Explain_confused'}"
0,using_dishwasher_1,"{'user': 'Alien', 'text': 'Oh, I see. Sorry, I got a little mixed up.', 'intent': 'Explain_confused'}","{'user': 'Human', 'text': ""That's okay, I guess they're both rectangular and get hot. I can see how you'd mix them up."", 'intent': 'Inform_object'}"
1,using_dishwasher_1,"{'user': 'Human', 'text': ""That's okay, I guess they're both rectangular and get hot. I can see how you'd mix them up."", 'intent': 'Inform_object'}","{'user': 'Human', 'text': ""Actually, wait, while we're here, can you grab that plate? We'll need to wash it anyway."", 'intent': 'Inform_next_step'}"
0,using_dishwasher_1,"{'user': 'Human', 'text': ""Actually, wait, while we're here, can you grab that plate? We'll need to wash it anyway."", 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Oh, sure! I guess this worked out after all.', 'intent': 'Yes-no_positive'}"
1,using_dishwasher_1,"{'user': 'Alien', 'text': 'Oh, sure! I guess this worked out after all.', 'intent': 'Yes-no_positive'}","{'user': 'Human', 'text': ""Okay, so this is what I meant by toaster oven. See the big black box under it? That's the dishwasher."", 'intent': 'Inform_object'}"
0,using_dishwasher_1,"{'user': 'Human', 'text': ""Okay, so this is what I meant by toaster oven. See the big black box under it? That's the dishwasher."", 'intent': 'Inform_object'}","{'user': 'Alien', 'text': 'Oh, I see now. Thanks!', 'intent': 'Inform_understanding'}"
1,using_dishwasher_1,"{'user': 'Alien', 'text': 'Oh, I see now. Thanks!', 'intent': 'Inform_understanding'}","{'user': 'Human', 'text': 'Go ahead and open it up first.', 'intent': 'Inform_next_step'}"
0,using_dishwasher_1,"{'user': 'Human', 'text': 'Go ahead and open it up first.', 'intent': 'Inform_next_step'}","{'user': 'Alien', 'text': 'Got it!', 'intent': 'Inform_understanding'}"
1,using_dishwasher_1,"{'user': 'Alien', 'text': 'Got it!', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': ""I'm assuming next I need to put the plate in it?"", 'intent': 'Ask_guidence'}"
0,using_dishwasher_1,"{'user': 'Alien', 'text': ""I'm assuming next I need to put the plate in it?"", 'intent': 'Ask_guidence'}","{'user': 'Human', 'text': 'Yup! Then you just need to shut it and turn it on.', 'intent': 'Inform_action'}"
1,using_dishwasher_1,"{'user': 'Human', 'text': 'Yup! Then you just need to shut it and turn it on.', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Alright, closing it now.', 'intent': 'Inform_get_started'}"
0,bathroom_cabinet_3,"{'user': 'Human', 'text': 'Follow me I will take you to bathroom', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Okay coming ', 'intent': 'Inform_understanding'}"
1,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Okay coming ', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Now What', 'intent': 'Ask_next_step'}"
0,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Now What', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Now you have to open the cupboard', 'intent': 'Inform_action'}"
1,bathroom_cabinet_3,"{'user': 'Human', 'text': 'Now you have to open the cupboard', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Okay ', 'intent': 'Inform_understanding'}"
0,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Okay ', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Now What', 'intent': 'Ask_next_step'}"
1,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Now What', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Pick up the towels', 'intent': 'Inform_action'}"
0,bathroom_cabinet_3,"{'user': 'Human', 'text': 'Pick up the towels', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Where are they ', 'intent': 'Ask_about_location'}"
0,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Where are they ', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'They are on the countertop ', 'intent': 'Inform_location'}"
0,bathroom_cabinet_3,"{'user': 'Human', 'text': 'They are on the countertop ', 'intent': 'Inform_location'}","{'user': 'Alien', 'text': 'Okay', 'intent': 'Inform_understanding'}"
1,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Okay', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Now What', 'intent': 'Ask_next_step'}"
0,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Now What', 'intent': 'Ask_next_step'}","{'user': 'Human', 'text': 'Put them in the cupboard', 'intent': 'Inform_action'}"
1,bathroom_cabinet_3,"{'user': 'Human', 'text': 'Put them in the cupboard', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Which cupboard ', 'intent': 'Ask_about_location'}"
0,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Which cupboard ', 'intent': 'Ask_about_location'}","{'user': 'Human', 'text': 'The middle one ', 'intent': 'Inform_action'}"
1,bathroom_cabinet_3,"{'user': 'Human', 'text': 'The middle one ', 'intent': 'Inform_action'}","{'user': 'Alien', 'text': 'Okay ', 'intent': 'Inform_understanding'}"
0,bathroom_cabinet_3,"{'user': 'Alien', 'text': 'Okay ', 'intent': 'Inform_understanding'}","{'user': 'Alien', 'text': 'Now What', 'intent': 'Ask_next_step'}"
